index,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,KM_Driven,make,mileage_new,engine_new,power_new
117,Nissan Micra XV CVT,Coimbatore,2016,Petrol,Automatic,First,5,6.55,3,39,nissan,19.15,1198,75.94
119,Maruti Vitara Brezza VDi,Mumbai,2016,Diesel,Manual,First,5,7.5,3,55,maruti,24.3,1248,88.5
123,Maruti Wagon R LXI BS IV,Pune,2011,Petrol,Manual,First,5,2.45,8,43,maruti,18.9,998,67.1
124,Tata Nano XTA,Coimbatore,2017,Petrol,Automatic,First,4,3.23,2,32,tata,21.9,624,37.48
130,Maruti Ciaz VXi Plus,Kochi,2017,Petrol,Manual,First,5,7.47,2,44,maruti,20.73,1373,91.1
132,Maruti Ritz VXI ABS,Coimbatore,2016,Petrol,Manual,First,5,5.81,3,30,maruti,21.1,1197,85.8
133,Maruti Alto K10 VXI,Hyderabad,2014,Petrol,Manual,First,5,2.6,5,88,maruti,24.07,998,67.1
136,Maruti Alto LXi BSIII,Chennai,2010,Petrol,Manual,Second,5,1.6,9,94,maruti,19.7,796,46.3
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,Petrol,Automatic,First,5,6,4,12,honda,19,1199,88.7
141,Honda Amaze SX i-DTEC,Kolkata,2014,Diesel,Manual,First,5,3.7,5,45,honda,25.8,1498,98.6
142,Maruti Swift VVT VXI,Kochi,2016,Petrol,Manual,First,5,5.43,3,34,maruti,22,1197,81.8
145,Chevrolet Beat LT Option,Pune,2014,Petrol,Manual,First,5,2.85,5,38,chevrolet,18.6,1199,76.8
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,Petrol,Manual,First,5,9.9,1,41,maruti,20.73,1373,91.1
151,Maruti Swift VDI,Chennai,2016,Diesel,Manual,First,5,6.25,3,35,maruti,22.9,1248,74
155,Hyundai EON Magna Plus,Kochi,2019,Petrol,Manual,First,5,4.23,0,14,hyundai,21.1,814,55.2
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,Diesel,Manual,First,5,3.5,7,65,volkswagen,22.07,1199,73.9
157,Datsun GO NXT,Kolkata,2016,Petrol,Manual,First,5,2.5,3,6,datsun,20.63,1198,67.06
158,Honda Brio S MT,Kolkata,2013,Petrol,Manual,First,5,2.39,6,33,honda,19.4,1198,86.8
160,Honda City i DTEC V,Kochi,2015,Diesel,Manual,First,5,7.11,4,42,honda,26,1498,98.6
162,Maruti Swift VXI Optional,Ahmedabad,2017,Petrol,Manual,First,5,6.2,2,24,maruti,20.4,1197,81.8
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,Diesel,Manual,First,5,4.42,5,147,ford,22.7,1498,89.84
167,Ford Figo Diesel Titanium,Jaipur,2010,Diesel,Manual,Second,5,2.1,9,66,ford,20,1399,68
170,Honda Brio V MT,Bangalore,2012,Petrol,Manual,Second,5,3.65,7,45,honda,19.4,1198,86.8
171,Hyundai i10 Magna 1.2,Delhi,2013,Petrol,Manual,First,5,2.75,6,60,hyundai,20.36,1197,78.9
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,Petrol,Manual,First,5,6.5,0,1,hyundai,18.9,1197,81.86
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,Diesel,Manual,First,5,8.35,5,29,hyundai,22.54,1396,88.73
179,Chevrolet Beat Diesel LT,Jaipur,2012,Diesel,Manual,First,5,1.5,7,88,chevrolet,25.44,936,57.6
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,Diesel,Manual,First,5,4.2,7,63,volkswagen,22.07,1199,73.9
187,Maruti Baleno Alpha,Kochi,2017,Petrol,Manual,First,5,7.5,2,24,maruti,21.4,1197,83.1
189,Hyundai i10 Magna 1.1,Kochi,2017,Petrol,Manual,First,5,4.04,2,52,hyundai,19.81,1086,68.05
192,Ford Figo Diesel ZXI,Chennai,2010,Diesel,Manual,First,5,2.6,9,120,ford,20,1399,68
193,Maruti Ertiga ZDI,Mumbai,2016,Diesel,Manual,First,7,8.5,3,33,maruti,25.47,1248,88.5
195,Honda Amaze S i-Dtech,Kolkata,2014,Diesel,Manual,First,5,3.5,5,52,honda,25.8,1498,98.6
196,Hyundai i10 Magna,Jaipur,2015,Petrol,Manual,First,5,3.55,4,43,hyundai,20.36,1197,78.9
197,Honda Amaze S i-Dtech,Kolkata,2013,Diesel,Manual,First,5,3.25,6,50,honda,25.8,1498,98.6
199,Renault Duster 85PS Diesel RxL,Delhi,2014,Diesel,Manual,First,5,5.35,5,90,renault,19.87,1461,83.8
200,Mahindra NuvoSport N6,Chennai,2017,Diesel,Manual,Second,7,6.5,2,29,mahindra,17.45,1493,100
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,Diesel,Manual,First,5,9,3,20,maruti,24.3,1248,88.5
202,Hyundai i20 Asta Option 1.2,Kochi,2016,Petrol,Manual,First,5,6,3,61,hyundai,18.6,1197,81.83
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,Petrol,Manual,First,5,2.75,10,87,skoda,14.7,1390,85
204,Tata Indigo eCS GLX,Pune,2010,Petrol,Manual,First,5,1.5,9,70,tata,15.64,1193,64.1
207,Toyota Etios Liva GD SP,Delhi,2014,Diesel,Manual,First,5,3,5,104,toyota,23.59,1364,67.06
210,Honda Amaze S Diesel,Kolkata,2013,Diesel,Manual,First,5,3.25,6,45,honda,27.4,1498,98.6
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,Diesel,Manual,First,5,5.95,5,30,renault,20.46,1461,83.8
214,Maruti Wagon R AMT VXI,Mumbai,2016,Petrol,Automatic,First,5,4.22,3,8,maruti,20.51,998,67
217,Hyundai i10 Magna 1.1,Pune,2012,Petrol,Manual,Second,5,2.9,7,44,hyundai,19.81,1086,68.05
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,Petrol,Manual,First,5,8.22,1,25,hyundai,17.19,1197,81.86
221,Honda Amaze VX i-DTEC,Kolkata,2014,Diesel,Manual,Second,5,3.5,5,64,honda,25.8,1498,98.6
222,Maruti Wagon R LXI,Chennai,2004,Petrol,Manual,Second,5,1.25,15,61,maruti,18.9,998,67.1
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,Diesel,Manual,First,5,3.7,6,107,mahindra,21.03,1461,65
225,Maruti Wagon R VXI,Kolkata,2013,Petrol,Manual,First,5,2.65,6,32,maruti,22.5,998,67.04
231,Chevrolet Beat LT,Kochi,2016,Petrol,Manual,Second,5,3.32,3,60,chevrolet,18.6,1199,76.8
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,Diesel,Manual,First,5,3.6,7,45,volkswagen,22.07,1199,73.9
233,Maruti Swift ZDi,Hyderabad,2016,Diesel,Manual,First,5,6.8,3,64,maruti,22.9,1248,74
234,Ford Figo Diesel EXI,Kolkata,2012,Diesel,Manual,First,5,2.5,7,41,ford,20,1399,68.05
238,Hyundai i20 1.2 Magna Executive,Kochi,2018,Petrol,Manual,First,5,6.27,1,14,hyundai,18.6,1197,81.83
240,Chevrolet Beat Diesel LT,Mumbai,2013,Diesel,Manual,First,5,2.65,6,74,chevrolet,25.44,936,57.6
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,Diesel,Manual,First,5,7.2,4,56,hyundai,22.54,1396,88.73
243,Maruti Ertiga VDI,Chennai,2013,Diesel,Manual,First,7,6.9,6,52,maruti,20.77,1248,88.76
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,Diesel,Manual,First,5,4.75,2,33,hyundai,24,1120,70
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,Diesel,Manual,First,5,8.45,3,34,maruti,28.09,1248,88.5
251,Hyundai Accent CRDi,Kochi,2006,Diesel,Manual,First,5,1.8,13,160,hyundai,13.1,1493,82
253,Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,Petrol,Manual,First,5,7.17,2,49,honda,18.7,1199,88.7
254,Hyundai i10 Era,Jaipur,2010,Petrol,Manual,First,5,1.75,9,83,hyundai,19.81,1086,68.05
257,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,Petrol,Manual,Third,5,1.85,8,35,maruti,19.7,796,35
258,Maruti Swift VXI BSIV,Coimbatore,2017,Petrol,Manual,Second,5,5.95,2,27,maruti,20.4,1197,81.8
259,Hyundai Grand i10 Magna,Mumbai,2014,Petrol,Manual,First,5,3.75,5,16,hyundai,18.9,1197,82
260,Maruti Swift VDI,Pune,2012,Diesel,Manual,First,5,3.75,7,120,maruti,22.9,1248,74
263,Hyundai i20 1.2 Sportz,Mumbai,2010,Petrol,Manual,First,5,2.8,9,52,hyundai,17,1197,80
266,Maruti Ritz ZDi,Hyderabad,2014,Diesel,Manual,First,5,4.35,5,88,maruti,23.2,1248,73.94
268,Maruti A-Star Vxi,Pune,2010,Petrol,Manual,First,5,2,9,67,maruti,19,998,66.1
270,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,Diesel,Manual,First,5,1.65,9,120,fiat,17.8,1248,76
272,Hyundai i10 Sportz,Bangalore,2010,Petrol,Manual,Second,5,3.25,9,36,hyundai,20.36,1197,78.9
274,Maruti Zen VXI BSII,Mumbai,2002,Petrol,Manual,Third,5,0.55,17,60,maruti,17.3,993,60
275,Maruti Swift VDI,Hyderabad,2018,Diesel,Manual,First,5,7.15,1,31,maruti,28.4,1248,74
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,Diesel,Manual,First,5,3.75,2,121,tata,22.95,1248,74
279,Maruti Swift Dzire ZDI,Jaipur,2012,Diesel,Manual,First,5,4.35,7,73,maruti,23.4,1248,74
280,Maruti Alto 800 LXI,Kochi,2016,Petrol,Manual,First,5,3.26,3,32,maruti,22.74,796,47.3
286,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,Diesel,Manual,First,5,3.11,6,46,hyundai,21.9,1396,88.8
287,Hyundai i20 Sportz AT 1.4,Coimbatore,2014,Petrol,Automatic,First,5,5.96,5,45,hyundai,15,1396,98.6
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,Diesel,Manual,First,5,5.25,1,45,tata,22.95,1248,74
292,Maruti Wagon R LXI Minor,Delhi,2009,Petrol,Manual,First,5,1.35,10,60,maruti,18.9,1061,67
293,Honda Jazz VX,Delhi,2015,Petrol,Manual,First,5,4.85,4,62,honda,18.2,1199,88.7
295,Hyundai i10 Magna 1.2,Hyderabad,2010,Petrol,Manual,First,5,3.1,9,74,hyundai,20.36,1197,78.9
297,Hyundai i10 Magna 1.2 iTech SE,Pune,2012,Petrol,Manual,First,5,2.8,7,45,hyundai,20.36,1197,78.9
301,Volkswagen Polo Petrol Trendline 1.2L,Mumbai,2015,Petrol,Manual,First,5,3.89,4,31,volkswagen,16.47,1198,73.9
302,Maruti Alto K10 LXI,Hyderabad,2011,Petrol,Manual,First,5,2.1,8,70,maruti,20.92,998,67.1
304,Tata Indigo LX,Coimbatore,2013,Diesel,Manual,First,5,2.58,6,59,tata,17,1405,70
309,Maruti Celerio VXI AT,Hyderabad,2014,Petrol,Automatic,First,5,4.25,5,77,maruti,23.1,998,67.04
313,Maruti Omni 8 Seater BSIV,Hyderabad,2012,Petrol,Manual,First,5,2.05,7,71,maruti,14,796,35
314,Honda Brio 1.2 VX MT,Kochi,2012,Petrol,Manual,First,5,3.13,7,91,honda,18.5,1198,86.8
315,Tata Sumo Delux,Hyderabad,2000,Diesel,Manual,Second,7,1.5,19,158,tata,14.07,2956,83.1
316,Tata Indica Vista Aura 1.3 Quadrajet,Pune,2012,Diesel,Manual,First,5,2.85,7,91,tata,18,1248,75
317,Maruti Wagon R LXI BS IV,Delhi,2012,Petrol,Manual,First,5,2.65,7,65,maruti,18.9,998,67.1
319,Tata Indigo LS Dicor,Pune,2008,Diesel,Manual,Second,5,1.25,11,138,tata,17.1,1396,70
320,Maruti Ertiga Paseo VXI,Mumbai,2018,Petrol,Manual,First,7,8.25,1,18,maruti,16.02,1373,93.7
322,Maruti Swift Dzire VDi,Kolkata,2012,Diesel,Manual,First,5,3.7,7,48,maruti,19.3,1248,73.9
323,Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2009,Diesel,Manual,First,5,2.8,10,160,ford,17.8,1399,68
324,Honda City ZX GXi,Kolkata,2008,Petrol,Manual,First,5,1.8,11,40,honda,17.7,1497,78
329,Hyundai i20 1.4 CRDi Asta,Pune,2012,Diesel,Manual,First,5,5.5,7,83,hyundai,23,1396,90
330,Hyundai i10 Sportz AT,Bangalore,2009,Petrol,Automatic,Third,5,2.95,10,37,hyundai,16.95,1197,78.9
331,Honda Jazz 1.2 V CVT i VTEC,Kochi,2016,Petrol,Automatic,First,5,6.86,3,28,honda,19,1199,88.7
332,Maruti Swift VDI BSIV,Hyderabad,2015,Diesel,Manual,First,5,6.15,4,76,maruti,25.2,1248,74
333,Hyundai i20 Asta 1.2,Pune,2011,Petrol,Manual,Second,5,3.3,8,79,hyundai,18.5,1197,82.85
334,Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2011,Petrol,Manual,First,5,2.55,8,32,volkswagen,16.47,1198,73.9
335,Maruti Alto LXi,Ahmedabad,2009,Petrol,Manual,First,5,1.5,10,35,maruti,19.7,796,46.3
337,Maruti Alto LXi,Chennai,2006,Petrol,Manual,Second,5,1.4,13,56,maruti,19.7,796,46.3
338,Tata Manza ELAN Quadrajet BS IV,Pune,2012,Diesel,Manual,First,5,3.4,7,73,tata,21.12,1248,88.8
339,Maruti Alto LXi,Pune,2012,Petrol,Manual,First,5,2.25,7,38,maruti,19.7,796,46.3
342,Hyundai i20 Asta Option 1.2,Coimbatore,2016,Petrol,Manual,First,5,7.66,3,24,hyundai,18.6,1197,81.83
343,Maruti Vitara Brezza LDi,Chennai,2016,Diesel,Manual,First,5,7.15,3,45,maruti,24.3,1248,88.5
345,Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,2014,Diesel,Manual,Second,5,3.5,5,133,tata,18,1248,75
346,Honda Amaze S i-Dtech,Kolkata,2013,Diesel,Manual,First,5,3.45,6,57,honda,25.8,1498,98.6
347,Hyundai EON D Lite Plus,Coimbatore,2016,Petrol,Manual,First,5,3.55,3,27,hyundai,21.1,814,55.2
350,Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,Diesel,Manual,First,5,2.9,6,47,tata,21.02,1248,88.8
352,Maruti Alto K10 VXI,Pune,2017,Petrol,Manual,First,5,3.75,2,30,maruti,24.07,998,67.1
353,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,Diesel,Manual,First,5,6.75,5,68,ford,22.7,1498,89.84
354,Chevrolet Spark 1.0 LS,Kolkata,2011,Petrol,Manual,Second,5,0.95,8,21,chevrolet,18,995,62
359,Maruti Swift LDI,Delhi,2013,Diesel,Manual,First,5,3.5,6,70,maruti,22.9,1248,74
360,Maruti Swift Dzire VXi AT,Mumbai,2016,Petrol,Automatic,First,5,6.2,3,18,maruti,18.5,1197,83.14
361,Nissan Micra Diesel XV,Chennai,2011,Diesel,Manual,First,5,2.75,8,83,nissan,23.08,1461,63.1
362,Maruti Swift Dzire Tour LDI,Mumbai,2015,Diesel,Manual,First,5,3.25,4,130,maruti,23.4,1248,74
363,Ford Fiesta Classic 1.4 Duratorq CLXI,Pune,2012,Diesel,Manual,First,5,3.25,7,63,ford,17.8,1399,67
364,Maruti Zen LX,Kolkata,2003,Petrol,Manual,First,5,0.65,16,65,maruti,17.3,993,60
366,Toyota Etios GD,Kolkata,2014,Diesel,Manual,First,5,3.25,5,45,toyota,23.59,1364,67.05
367,Maruti Alto 800 2016-2019 LXI,Kolkata,2018,Petrol,Manual,First,5,2.9,1,26,maruti,24.7,796,47.3
368,Maruti Alto VXi,Bangalore,2011,Petrol,Manual,Third,5,2.9,8,11,maruti,18.9,796,47
371,Hyundai Grand i10 AT Asta,Coimbatore,2015,Petrol,Automatic,First,5,5.77,4,37,hyundai,18.9,1197,82
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,Diesel,Manual,First,5,9.49,2,39,maruti,24.3,1248,88.5
375,Maruti 800 AC,Chennai,2007,Petrol,Manual,Third,4,1,12,72,maruti,16.1,796,37
376,Renault Duster 85PS Diesel RxL,Chennai,2015,Diesel,Manual,Second,5,7.1,4,93,renault,20.45,1461,83.8
379,Maruti Ritz VDi,Hyderabad,2010,Diesel,Manual,Second,5,3.2,9,68,maruti,21.1,1248,73.9
381,Hyundai Xcent 1.1 CRDi Base,Kochi,2015,Diesel,Manual,First,5,4,4,74,hyundai,24.4,1120,71
390,Honda Amaze S i-Vtech,Delhi,2015,Petrol,Manual,First,5,4.65,4,52,honda,18,1198,86.7
393,Hyundai EON Magna Plus,Chennai,2014,Petrol,Manual,First,5,3.25,5,37,hyundai,21.1,814,55.2
394,Maruti Wagon R VXI BS IV,Kolkata,2014,Petrol,Manual,First,5,3.1,5,17,maruti,20.51,998,67.04
395,Maruti Ritz LDi,Coimbatore,2011,Diesel,Manual,First,5,3.91,8,90,maruti,21.1,1248,73.9
402,Maruti Alto LX,Jaipur,2010,Petrol,Manual,First,5,0.92,9,125,maruti,19.7,796,46.3
403,Maruti Wagon R LXI BSIII,Pune,2013,Petrol,Manual,First,5,2.75,6,53,maruti,14,1061,64
416,Hyundai Accent GLE,Pune,2005,Petrol,Manual,First,5,0.8,14,5,hyundai,13.2,1495,94
417,Hyundai i20 Active SX Petrol,Jaipur,2017,Petrol,Manual,First,5,6.9,2,40,hyundai,17.19,1197,81.86
419,Hyundai EON Magna Plus,Kolkata,2015,Petrol,Manual,Second,5,2.25,4,20,hyundai,21.1,814,55.2
420,Hyundai Grand i10 SportZ Edition,Kochi,2018,Petrol,Manual,First,5,5.5,1,40,hyundai,18.9,1197,81.86
421,Honda City 1.5 EXI S,Mumbai,2013,Petrol,Manual,First,5,4.35,6,52,honda,13,1493,100
422,Volkswagen Polo Petrol Trendline 1.2L,Kolkata,2010,Petrol,Manual,First,5,2.25,9,55,volkswagen,16.47,1198,73.9
429,Toyota Etios VD,Bangalore,2013,Diesel,Manual,First,5,5.75,6,37,toyota,23.59,1364,67.04
430,Honda Brio S MT,Delhi,2014,Petrol,Manual,Second,5,3.2,5,30,honda,19.4,1198,86.8
431,Maruti Baleno Alpha Automatic,Coimbatore,2018,Petrol,Automatic,First,5,9.89,1,12,maruti,21.4,1197,83.1
433,Hyundai EON Era Plus,Kochi,2018,Petrol,Manual,First,5,4.06,1,13,hyundai,21.1,814,55.2
436,Maruti Alto 800 LXI,Kochi,2016,Petrol,Manual,First,5,3.74,3,34,maruti,22.74,796,47.3
438,Maruti Wagon R LXI BSII,Ahmedabad,2007,Petrol,Manual,First,5,1.45,12,55,maruti,18.9,998,67.1
439,Honda City ZX GXi,Kolkata,2008,Petrol,Manual,First,5,2,11,40,honda,17.7,1497,78
441,Chevrolet Enjoy 1.4 LS 8,Kolkata,2014,Petrol,Manual,First,8,3.75,5,15,chevrolet,13.7,1399,98.79
442,Mahindra Bolero ZLX,Coimbatore,2016,Diesel,Manual,First,7,7.7,3,82,mahindra,15.96,2523,62.1
444,Hyundai EON D Lite,Hyderabad,2014,Petrol,Manual,First,5,2.6,5,20,hyundai,21.1,814,55.2
448,Tata Indica Vista Quadrajet LS,Hyderabad,2014,Diesel,Manual,First,5,2.5,5,67,tata,22.3,1248,74
450,Hyundai i20 1.2 Asta Option,Coimbatore,2017,Petrol,Manual,First,5,7.98,2,26,hyundai,18.6,1197,81.83
452,Maruti Ritz VXi,Chennai,2011,Petrol,Manual,Second,5,2.25,8,67,maruti,18.5,1197,85.8
455,Maruti Celerio LDi,Hyderabad,2016,Diesel,Manual,First,5,3.5,3,80,maruti,27.62,793,47
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,Diesel,Manual,First,5,8.92,1,12,maruti,25.1,1248,88.5
460,Hyundai i20 2015-2017 Asta 1.2,Pune,2016,Petrol,Manual,First,5,7.2,3,6,hyundai,18.6,1197,81.83
462,Hyundai Xcent 1.1 CRDi S Celebration Edition,Pune,2016,Diesel,Manual,First,5,5.25,3,51,hyundai,24.4,1120,71
463,Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,Diesel,Manual,First,5,6.5,5,31,ford,22.7,1498,89.84
464,Volkswagen Polo Petrol Trendline 1.2L,Hyderabad,2013,Petrol,Manual,First,5,4.4,6,76,volkswagen,16.47,1198,73.9
465,Hyundai Grand i10 CRDi Magna,Kolkata,2017,Diesel,Manual,First,5,4.6,2,14,hyundai,24,1120,70
466,Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,Diesel,Manual,First,5,2.95,6,47,tata,21.12,1248,88.8
